"Beat","Type_1","Type_2","Type_3","Type_4","NatAm_uof","Asian_uof","Black_uof","HispLat_uof","PacIsl_uof","RaceNA_uof","White_uof","F_uof","M_uof","GenderNA_uof","Count_uof","PUMA","Total_Pop","White_pop","Black_pop","NatAm_pop","Asian_pop","PacIsl_pop","OtherRace_pop","TwoPlusRace_pop","HispLat_pop","HSGrad","BachGrad","EngNotVWell","Pop200PctBelowPov","PersonOfColor","Median_Age","Median_HHIncome","Median_GrossIncome"
"-",659,449,8,16,14,32,252,28,8,379,419,257,772,103,1132,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",27,1,0,0,0,6,13,0,0,3,6,5,23,0,28,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",123,48,0,2,0,2,31,5,1,23,111,42,131,0,173,"NW",139634,110103,3084,590,10788,369,135,6196,8369,11335,41924,6070,26154,29531,37,75220,1175
"B2",103,45,0,2,2,0,36,4,0,8,100,30,120,0,150,"NW",139634,110103,3084,590,10788,369,135,6196,8369,11335,41924,6070,26154,29531,37,75220,1175
"B3",90,31,2,0,1,1,23,0,0,16,82,36,87,0,123,"NW",139634,110103,3084,590,10788,369,135,6196,8369,11335,41924,6070,26154,29531,37,75220,1175
"C1",90,19,0,3,3,2,17,2,0,34,54,29,82,1,112,"SE",104138,56167,17246,535,16515,625,173,5274,7603,9737,22559,11115,29955,47971,38.3,72652,1086
"C2",75,15,0,0,0,1,26,4,0,20,39,20,68,2,90,"SE",104138,56167,17246,535,16515,625,173,5274,7603,9737,22559,11115,29955,47971,38.3,72652,1086
"C3",100,26,1,0,0,0,47,0,0,34,46,40,85,2,127,"SE",104138,56167,17246,535,16515,625,173,5274,7603,9737,22559,11115,29955,47971,38.3,72652,1086
"D1",166,87,2,3,1,1,100,9,5,49,93,49,209,0,258,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,8098,33822,6821,29157,30825,36.75,63145.5,1188.5
"D2",292,87,0,10,1,8,66,12,2,109,191,84,259,46,389,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,8098,33822,6821,29157,30825,36.75,63145.5,1188.5
"D3",113,69,6,6,0,1,52,0,0,26,115,34,156,4,194,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,8098,33822,6821,29157,30825,36.75,63145.5,1188.5
"E1",188,108,4,5,1,8,55,6,1,88,146,52,231,22,305,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,8098,33822,6821,29157,30825,36.75,63145.5,1188.5
"E2",442,138,0,4,12,19,188,13,1,104,247,94,457,33,584,"SE",104138,56167,17246,535,16515,625,173,5274,7603,9737,22559,11115,29955,47971,38.3,72652,1086
"E3",145,65,0,1,4,5,41,0,0,60,101,49,154,8,211,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,8098,33822,6821,29157,30825,36.75,63145.5,1188.5
"F1",83,26,0,1,0,10,28,5,2,22,43,32,77,1,110,"W",132731,71023,14150,711,27976,1028,62,6030,11751,16025,28275,20719,36993,61708,38,59741,1065.5
"F2",123,32,0,0,2,2,57,16,4,26,48,29,125,1,155,"W",132731,71023,14150,711,27976,1028,62,6030,11751,16025,28275,20719,36993,61708,38,59741,1065.5
"F3",110,23,0,0,0,6,30,19,0,30,48,21,107,5,133,"W",132731,71023,14150,711,27976,1028,62,6030,11751,16025,28275,20719,36993,61708,38,59741,1065.5
"G1",150,59,0,0,2,3,76,5,3,48,72,48,159,2,209,"SE",104138,56167,17246,535,16515,625,173,5274,7603,9737,22559,11115,29955,47971,38.3,72652,1086
"G2",136,36,0,1,0,2,110,0,0,26,35,56,115,2,173,"SE",104138,56167,17246,535,16515,625,173,5274,7603,9737,22559,11115,29955,47971,38.3,72652,1086
"G3",136,66,1,2,0,6,127,8,0,30,34,36,165,4,205,"SE",104138,56167,17246,535,16515,625,173,5274,7603,9737,22559,11115,29955,47971,38.3,72652,1086
"J1",141,16,0,0,0,1,41,11,0,12,92,24,133,0,157,"NW",139634,110103,3084,590,10788,369,135,6196,8369,11335,41924,6070,26154,29531,37,75220,1175
"J2",90,24,0,2,1,1,25,4,2,20,63,32,84,0,116,"NW",139634,110103,3084,590,10788,369,135,6196,8369,11335,41924,6070,26154,29531,37,75220,1175
"J3",115,15,0,0,0,4,34,13,1,6,72,21,109,0,130,"NW",139634,110103,3084,590,10788,369,135,6196,8369,11335,41924,6070,26154,29531,37,75220,1175
"K1",251,87,5,2,0,7,135,10,0,66,127,47,289,9,345,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,8098,33822,6821,29157,30825,36.75,63145.5,1188.5
