"Beat","Type_1","Type_2","Type_3","Type_4","NatAm_uof","Asian_uof","Black_uof","HispLat_uof","PacIsl_uof","RaceNA_uof","White_uof","F_uof","M_uof","GenderNA_uof","Count_uof","PUMA","Total_Pop","White_pop","Black_pop","NatAm_pop","Asian_pop","PacIsl_pop","OtherRace_pop","TwoPlusRace_pop","HispLat_pop","Pct_HSGrad","Pct_BachGrad","EngNotVWell","Pop200PctBelowPov","PersonOfColor","Median_Age","Median_HHIncome","Median_GrossIncome"
"-",235,95,5,0,2,18,88,18,2,107,100,53,249,33,335,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0",13,7,0,0,0,0,5,0,0,8,7,5,14,1,20,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"99",27,1,0,0,0,6,13,0,0,3,6,5,23,0,28,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"B1",128,50,0,2,0,2,31,5,1,25,116,44,136,0,180,"NW",139634,110103,3084,590,10788,369,135,6196,8369,6070,26154,29531,97,67,37,75220,1175
"B2",108,50,0,2,2,0,36,4,0,9,109,32,128,0,160,"NW",139634,110103,3084,590,10788,369,135,6196,8369,6070,26154,29531,97,67,37,75220,1175
"B3",97,33,2,0,1,1,25,0,0,18,87,38,94,0,132,"NW",139634,110103,3084,590,10788,369,135,6196,8369,6070,26154,29531,97,67,37,75220,1175
"C1",97,25,0,3,3,2,20,2,0,37,61,32,90,3,125,"SE",104138,56167,17246,535,16515,625,173,5274,7603,11115,29955,47971,93.8,56.2,38.3,72652,1086
"C2",76,15,0,1,0,1,27,4,0,20,40,20,70,2,92,"SE",104138,56167,17246,535,16515,625,173,5274,7603,11115,29955,47971,93.8,56.2,38.3,72652,1086
"C3",108,26,1,0,0,0,52,0,0,34,49,42,91,2,135,"SE",104138,56167,17246,535,16515,625,173,5274,7603,11115,29955,47971,93.8,56.2,38.3,72652,1086
"D1",182,99,2,7,1,1,104,11,5,61,107,59,230,1,290,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,6821,29157,30825,97.15,63.05,36.75,63145.5,1188.5
"D2",312,113,0,10,1,8,73,12,7,126,208,96,286,53,435,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,6821,29157,30825,97.15,63.05,36.75,63145.5,1188.5
"D3",125,75,6,6,0,1,61,0,0,33,117,44,164,4,212,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,6821,29157,30825,97.15,63.05,36.75,63145.5,1188.5
"E1",197,118,4,5,1,8,57,6,1,95,156,61,241,22,324,"Downtown",114777,83952,6024,849,12737,154,404,4772,5885,6821,29157,30825,97.15,63.05,36.75,63145.5,1188.5
